,prenom,genre,fréquence
0,aaliyah,0,0
1,aapeli,1,0
2,aapo,1,0
3,aaren,2,0
4,aarne,1,0
5,aarón,1,0
6,aaron,1,1.37
7,aatami,1,0
8,aatto,1,0
9,aatu,1,0
10,abaddon,1,0
11,abbán,1,0
12,'abbas,1,0
13,abbey,0,0.06
14,abbie,0,0
15,abby,0,0
16,abd-al-aziz,1,0
17,abd-allah,1,0
18,abd-al-malik,1,0
19,abd-al-qadir,1,0
20,abd-al-rahman,1,0
21,abdul,1,0.29
22,abdul-aziz,1,0
23,abdullah,1,0.13
24,abdul-rahman,1,0
25,abe,1,0.03
26,abednego,1,0
27,abegail,0,0
28,ábel,1,0
29,abel,1,5.38
30,abelone,0,0
31,abena,0,0
32,abeni,0,0
33,abhay,1,0
34,abiah,2,0
35,abidan,1,0
36,abidemi,1,0
37,abiel,1,0
38,abigail,0,0.06
39,abigayle,0,0
40,abihu,1,0
41,abijah,2,0
42,abilene,0,0
43,abimael,1,0
44,abiram,1,0
45,abisai,1,0
46,abishag,0,0.03
47,abishai,1,0
48,abital,0,0
49,'abla,0,0
50,abner,1,0
51,abraham,1,3.15
52,abram,1,0.03
53,absalom,1,0.03
54,absolon,1,0
55,acacia,0,2.07
56,acacius,1,0
57,acantha,0,0
58,ace,1,0.03
59,achaicus,1,0
60,achan,1,0
61,achieng,0,0
62,achille,1,8.63
63,achilles,1,0
64,achim,1,0.03
65,acke,1,0
66,ada,0,0.13
67,adah,0,0
68,adair,1,0.03
69,adalbert,1,0.06
70,adalberto,1,0
71,adalheid,0,0
72,adalia,1,0
73,ádám,1,0
74,adam,1,25.45
75,adamina,0,0
76,adamo,1,0
77,adán,1,0
78,adão,1,0
79,adara,0,0
80,addie,0,0
81,addison,2,0.64
82,addy,0,0
83,adel,1,0
84,adela,0,0
85,adélaïde,0,15.48
86,adelaide,0,0
87,adèle,0,25.33
88,adelheid,0,0
89,adelia,0,0
90,adelina,0,0.67
91,adeline,0,1.27
92,adelle,0,0
93,adelmar,1,0
94,adem,1,0
95,aden,1,0.54
96,adena,0,0
97,adhara,0,0
98,adhiambo,0,0
99,adi,0,0
100,adil,1,0
101,adina,2,0
102,adino,1,0
103,adisa,1,0
104,aditya,1,0
105,adjoa,0,0
106,adlai,1,0
107,adolf,1,2.42
108,adolfo,1,0
109,adolph,1,0.06
110,adolphe,1,1.72
111,adolphus,1,0
112,adonai,1,0
113,adonia,0,0
114,adonijah,1,0
115,adonis,1,0.67
116,adora,0,0.03
117,adorinda,0,0
118,adorján,1,0
119,adrasteia,0,0
120,adrastos,1,0
121,adria,0,0
122,adriaan,1,0
123,adrián,1,0
124,adrian,1,0.45
125,adriana,0,0.06
126,adrianna,0,0
127,adrianne,0,0
128,adriano,1,0.03
129,adrien,1,6.31
130,adrienn,0,0
131,adrienne,0,2.01
132,adwoa,0,0
133,aegle,0,0
134,ælfwine,1,0
135,aella,0,0
136,ælred,1,0
137,aemilia,0,0
138,aeneas,1,0.13
139,aengus,1,0
140,aeolus,1,0
141,aeron,2,0
142,aeron,2,0
143,aeronwen,0,0
144,aeronwy,0,0
145,æsc,1,0
146,aeschylus,1,0
147,aeson,1,0
148,aesop,1,0
149,æðelbert,1,0
150,æðelfrid,1,0
151,æðelmær,1,0
152,æðelred,1,0
153,æðelstan,1,0
154,æðelþryð,0,0
155,afanasi,1,0
156,afanasy,1,0
157,afanen,0,0
158,afia,0,0
159,afolabi,1,0
160,afon,2,0
161,afonso,1,0
162,afra,0,0
163,africa,0,0.13
164,afua,0,0
165,agafya,0,0
166,agamemnon,1,0.86
167,agape,0,0.06
168,agapios,1,0
169,agata,0,0.03
170,agatha,0,0.19
171,agathangelos,0,0
172,agathe,0,20.01
173,agathon,1,0.06
174,agaue,0,0
175,aggie,0,0
176,aghavni,0,0
177,ági,0,0
178,aglaia,0,0
179,aglaya,0,0
180,aglea,0,0
181,ágnes,0,0
182,agnès,0,3.95
183,agnes,0,0.03
184,agnese,0,0.32
185,agnessa,0,0
186,agneta,0,0
187,agnethe,0,0
188,agnieszka,0,0
189,agostina,0,0
190,agostinho,1,0.16
191,agostino,1,0.45
192,ágoston,1,0
193,ágota,0,0
194,agrafena,0,0
195,agrippa,1,1.85
196,agrippina,0,0
197,agrona,0,0
198,águeda,0,0
199,agustín,1,0
200,ah,2,180.28
201,ahab,1,0
202,aharon,1,0
203,ahmad,1,0.03
204,ahmed,1,2.71
205,ahmet,1,0
206,ahriman,1,0
207,ahtahkakoop,1,0
208,ahura mazda,1,0
209,ahuva,0,0
210,ai,0,0
211,ai,0,0
212,aias,1,0
213,aida,0,3.95
214,aidan,2,0
215,aiden,1,0
216,aignéis,0,0
217,aikaterine,0,0
218,ailbhe,2,0
219,aileas,0,0
220,aileen,0,0
221,ailill,1,0
222,ailín,1,0
223,ailís,0,0
224,ailpein,1,0
225,ailsa,0,0
226,aimé,1,50.02
227,aimée,0,14.85
228,aimo,1,0
229,aina,0,0
230,aindrea,1,0
231,aindréas,1,0
232,aindriú,1,0
233,áine,0,0
234,aingeal,0,0
235,aino,0,0
236,ainsley,2,0
237,ainslie,2,0
238,aintzane,0,0
239,aiolos,1,0
240,'aisha,0,0
241,aislin,0,0
242,aisling,0,0
243,aislinn,0,0
244,aithne,0,0
245,aitor,1,0
246,ajax,1,0.38
247,ajeet,1,0
248,ajit,1,0
249,ajith,1,0
250,akakios,1,0
251,akamu,1,0
252,akanksha,0,0
253,akeem,1,0
254,akemi,0,0
255,akhil,1,0
256,aki,2,0.10
257,akiko,0,0
258,akilah,0,0
259,akilina,0,0
260,akim,1,0.06
261,akinyi,0,0
262,akio,1,0
263,akira,1,0
264,akiva,1,0
265,akoni,1,0
266,akosua,0,0
267,aksel,1,0
268,aksinya,0,0
269,aku,1,0
270,akua,0,0
271,akulina,0,0
272,al,1,6.88
273,alaba,0,0
274,alain,1,20.36
275,alaina,0,0
276,alan,1,0.32
277,alana,0,0
278,alanis,0,0
279,alanna,0,0
280,alannah,0,0
281,alannis,0,0
282,alaois,1,0
283,alaric,1,0.41
284,alasdair,1,0
285,alastair,1,0
286,alastar,1,0
287,alastríona,0,0
288,alayna,0,0
289,alba,0,0.25
290,alban,1,0.70
291,alberic,1,0
292,albert,1,27.88
293,alberta,0,0.22
294,albertina,0,0.06
295,albertine,0,4.08
296,alberto,1,1.34
297,albina,0,0
298,albrecht,1,0.16
299,alby,1,14.97
300,alcaeus,1,0
301,alcippe,0,0
302,alcyone,0,0
303,alden,1,0.03
304,aldo,1,4.59
305,aldous,1,0.22
306,aldrick,1,0
307,alea,0,1.31
308,alease,0,0
309,alec,1,0.03
310,alechjo,1,0
311,aled,1,0
312,aleesha,0,0
313,aleit,0,0
314,alejandra,0,0
315,alejandro,1,0
316,alejo,1,0
317,aleksandar,1,0
318,aleksander,1,0
319,aleksandr,1,0
320,aleksandra,0,0
321,aleksandrina,0,0
322,aleksandro,1,0
323,aleksanteri,1,0
324,aleksei,1,0
325,aleksi,1,0
326,alene,0,0
327,alenka,0,0
328,ales,1,0
329,alesha,0,0
330,alessa,0,0
331,alessandra,0,0
332,alessandro,1,1.21
333,alessia,0,0
334,alessio,1,0
335,aleta,0,0
336,aletha,0,0
337,alethea,0,0
338,alex,2,3.03
339,alexa,0,0
340,alexander,1,2.10
341,alexandr,1,0
342,alexandra,0,2.26
343,alexandre,1,18.00
344,alexandrea,0,0
345,alexandria,0,0
346,alexandrie,0,5.54
347,alexandrina,0,0
348,alexandros,1,0.10
349,alexandru,1,0
350,alexei,1,0
351,alexej,1,0
352,alexia,0,0
353,alexina,0,0
354,alexis,1,0
355,alexis,0,0
356,alexius,1,0
357,alexus,0,0
358,alf,1,0.03
